time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1549411200,3451.9,3521.0,3405.32,3513.0,13242.97,45675293.36,force_direct,
1549497600,3438.4,3462.3,3417.1,3451.9,4850.09,16706545.67,force_direct,
1549584000,3724.0,3800.0,3425.3,3438.4,31185.21,112471727.47,force_direct,
1549670400,3718.3,3740.0,3685.7,3724.0,6309.94,23421642.59,force_direct,
1549756800,3747.7,3753.5,3661.0,3718.3,10053.56,37198920.27,force_direct,
1549843200,3681.08,3750.0,3672.0,3747.7,7808.7,28847196.33,force_direct,
1549929600,3694.2,3728.0,3645.0,3681.08,11364.33,41819869.02,force_direct,
1550016000,3666.1,3742.39,3631.0,3694.2,11762.01,43227129.49,force_direct,
1550102400,3656.7,3682.87,3640.0,3666.1,7594.57,27826760.0,force_direct,
1550188800,3670.1,3719.0,3642.8,3656.7,7861.74,28883943.34,force_direct,
1550275200,3676.45,3726.7,3664.0,3670.1,7536.34,27801359.0,force_direct,
1550361600,3735.5,3790.0,3655.0,3676.45,14084.3,52261557.99,force_direct,
1550448000,3978.1,4021.0,3723.6,3735.5,37656.36,146135290.69,force_direct,
1550534400,3989.9,4083.5,3936.0,3978.1,24357.08,97689218.95,force_direct,
1550620800,4055.0,4070.0,3963.0,3989.9,15297.88,61557863.15,force_direct,
1550707200,4008.8,4145.0,3918.5,4055.0,15531.7,62552946.86,force_direct,
1550793600,4058.3,4074.0,3987.5,4008.8,14228.46,57444800.35,force_direct,
1550880000,4212.2,4255.0,4013.8,4058.3,21532.96,88467365.19,force_direct,
1550966400,3831.3,4282.4,3812.0,4212.2,36099.65,145325969.48,force_direct,
1551052800,3921.8,3966.5,3830.0,3831.3,10492.95,40927291.63,force_direct,
1551139200,3897.0,3934.1,3862.8,3921.8,5139.65,20038565.58,force_direct,
1551225600,3900.1,3934.0,3761.2,3897.0,12069.96,46788490.98,force_direct,
1551312000,3894.0,3988.0,3875.0,3900.1,12147.75,47667705.4,force_direct,
1551398400,3914.0,3949.0,3893.0,3894.0,4795.01,18822723.65,force_direct,
1551484800,3913.0,3924.0,3838.89,3914.0,5125.84,19958218.5,force_direct,
1551571200,3885.0,3925.0,3855.0,3913.0,2889.76,11260382.81,force_direct,
1551657600,3800.3,3911.1,3767.0,3885.0,10211.19,38984445.11,force_direct,
1551744000,3951.6,3968.7,3786.1,3800.3,10862.1,42246468.34,force_direct,
1551830400,3951.4,3986.5,3910.9,3951.6,6643.86,26188332.62,force_direct,
1551916800,3964.4,3997.4,3933.33,3951.4,7677.77,30480539.01,force_direct,
1552003200,3940.5,4021.0,3850.0,3964.4,9366.29,37080052.43,force_direct,
1552089600,4017.33,4046.2,3933.9,3940.5,7384.49,29538020.14,force_direct,
1552176000,4000.0,4017.33,3959.45,4017.33,4676.52,18656419.83,force_direct,
1552262400,3949.1,4009.2,3920.1,4000.0,6621.55,26229757.48,force_direct,
1552348800,3954.1,3979.5,3895.2,3949.1,7639.85,30126525.94,force_direct,
1552435200,3946.2,3972.6,3925.1,3954.1,5586.55,22062813.11,force_direct,
1552521600,3948.3,4004.0,3869.3,3946.2,8366.7,32992939.87,force_direct,
1552608000,4003.2,4011.0,3948.3,3948.3,6740.3,26848370.71,force_direct,
1552694400,4088.04,4166.8,4003.1,4003.2,13946.08,57119435.41,force_direct,
1552780800,4068.9,4089.8,4041.1,4088.04,3396.76,13824581.07,force_direct,
1552867200,4073.7,4120.0,4034.02,4068.9,3688.35,15030541.35,force_direct,
1552953600,4104.58,4120.0,4055.15,4073.7,5548.93,22690489.17,force_direct,
1553040000,4127.16,4136.5,4072.7,4104.58,7817.21,32067395.84,force_direct,
1553126400,4044.8,4146.9,4004.0,4127.16,11800.21,48162731.29,force_direct,
1553212800,4045.2,4070.6,4034.9,4044.8,4835.73,19582343.14,force_direct,
1553299200,4063.2,4084.0,4028.4,4045.2,4367.87,17714585.85,force_direct,
1553385600,4041.4,4063.2,4011.0,4063.2,3364.15,13586695.95,force_direct,
1553472000,3970.0,4049.9,3939.0,4041.4,6716.63,26861164.52,force_direct,
1553558400,3992.7,3996.0,3943.8,3970.0,5086.72,20210992.9,force_direct,
1553644800,4102.5,4109.9,3979.3,3992.7,7933.45,32244178.16,force_direct,
1553731200,4092.57,4114.4,4064.0,4102.5,6214.84,25399212.3,force_direct,
1553817600,4179.0,4197.2,4082.3,4092.57,8644.8,35893810.99,force_direct,
1553904000,4165.1,4210.0,4112.0,4179.0,6633.85,27622306.41,force_direct,
1553990400,4167.5,4182.9,4152.8,4165.1,2268.46,9454455.69,force_direct,
1554076800,4196.8,4224.6,4124.0,4167.5,7005.01,29358608.28,force_direct,
1554163200,4922.1,5106.91,4187.4,4196.8,54127.79,258210603.02,force_direct,
1554249600,4978.0,5335.5,4842.2,4922.1,44237.4,224731511.25,force_direct,
1554336000,4938.9,5100.0,4834.0,4978.0,15383.21,76711330.98,force_direct,
1554422400,5083.0,5132.5,4929.5,4938.9,11361.21,57424948.02,force_direct,
1554508800,5091.1,5280.0,4960.2,5083.0,14183.0,72871075.59,force_direct,
1554595200,5238.0,5321.6,5075.0,5091.1,9919.14,51582045.79,force_direct,
1554681600,5312.4,5373.9,5138.6,5238.0,17813.67,93933369.86,force_direct,
1554768000,5216.3,5312.4,5170.0,5312.4,11873.89,62234999.76,force_direct,
1554854400,5310.1,5488.0,5193.5,5216.3,15766.03,84138707.68,force_direct,
1554940800,5059.0,5342.1,4952.4,5310.1,19423.5,99488302.96,force_direct,
1555027200,5114.0,5134.9,4934.7,5059.0,9215.46,46667815.13,force_direct,
1555113600,5103.74,5163.0,5070.2,5114.0,5184.22,26577794.17,force_direct,
1555200000,5194.4,5211.9,5054.8,5103.74,4144.21,21278989.0,force_direct,
1555286400,5042.79,5218.6,4977.0,5194.4,9520.05,48533007.73,force_direct,
1555372800,5234.4,5256.7,5029.6,5042.79,8374.11,43200183.09,force_direct,
1555459200,5254.5,5300.0,5206.8,5234.4,9283.95,48795493.23,force_direct,
1555545600,5310.86,5340.0,5251.0,5254.5,9035.7,47833314.37,force_direct,
1555632000,5314.1,5376.0,5220.0,5310.86,6306.37,33384338.93,force_direct,
1555718400,5340.04,5404.85,5283.9,5314.1,6482.15,34646386.69,force_direct,
1555804800,5321.9,5368.0,5255.0,5340.04,6152.67,32617496.16,force_direct,
1555891200,5417.8,5459.5,5276.5,5321.9,11942.26,64047939.62,force_direct,
1555977600,5546.1,5647.4,5387.5,5417.8,18764.96,104320308.21,force_direct,
1556064000,5479.6,5690.0,5407.1,5546.1,16532.72,91612303.53,force_direct,
1556150400,5215.6,5558.0,5055.0,5479.6,21493.16,114181412.29,force_direct,
1556236800,5410.9,5525.0,5172.7,5215.6,21517.59,115560489.81,force_direct,
1556323200,5401.9,5458.0,5351.0,5410.9,4566.73,24659667.68,force_direct,
1556409600,5486.8,5545.7,5401.7,5401.9,7766.24,42622631.82,force_direct,
